BGFactory001	BGFactory001_0	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGFactory001.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGFactory001.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGFactory001.jpg	2048	2048	Universal Render Pipeline/Lit
BGFactory002	BGFactory002_1	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGFactory002.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGFactory002.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGFactory002.jpg	2048	2048	Universal Render Pipeline/Lit
BGHigh001	BGHigh001_2	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGHigh001.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGHigh001_material.mat	Assets/_ProtoType_Merge/DH/Resources/Building/256ColorNormal_2605201600.png	256	256	Universal Render Pipeline/Lit
BGHigh002	BGHigh002_3	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGHigh002.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGHigh002.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGHigh002.jpg	2048	2048	Universal Render Pipeline/Lit
BGHigh003	BGHigh003_4	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGHigh003.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGHigh003.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGHigh003.jpg	2048	2048	Universal Render Pipeline/Lit
BGHigh004	BGHigh004_5	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGHigh004.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGHigh004.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGHigh004.jpg	2048	2048	Universal Render Pipeline/Lit
BGHouse001	BGHouse001_6	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGHouse001.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGHouse001_material.mat	Assets/_ProtoType_Merge/DH/Resources/Building/256ColorNormal_2605201600.png	256	256	Universal Render Pipeline/Lit
BGHouse002	BGHouse002_7	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGHouse002.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGHouse002.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGHouse002.jpg	2048	2048	Universal Render Pipeline/Lit
BGOffice001	BGOffice001_8	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGOffice001.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGOffice001_material.mat	Assets/_ProtoType_Merge/DH/Resources/Building/256ColorNormal_2605201600.png	256	256	Universal Render Pipeline/Lit
BGOffice002	BGOffice002_9	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGOffice002.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGOffice002.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGOffice002.jpg	2048	2048	Universal Render Pipeline/Lit
BGRowHouse001	BGRowHouse001_10	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGRowHouse001.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGRowHouse001.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGRowHouse001.jpg	2048	2048	Universal Render Pipeline/Lit
BGRowHouse002	BGRowHouse002_11	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Prefab/BGRowHouse002.prefab	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Meterial/BGRowHouse002.mat	Assets/_ProtoType_Merge/DH/AlphaAsset/AIAsset/Building/Texture/BGRowHouse002.jpg	2048	2048	Universal Render Pipeline/Lit
